City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
222,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
223,La Plata,AR,87.71,clear sky,-34.9215,-57.9545,Hotel Corregidor
225,Damietta,EG,76.89,broken clouds,31.4165,31.8133,SULIMAN INN
229,Marsh Harbour,BS,81.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
231,Tarauaca,BR,93.33,broken clouds,-8.1614,-70.7656,Flat Temporada
232,Kilindoni,TZ,78.91,few clouds,-7.9139,39.6668,Bustani B&B
233,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
234,Hambantota,LK,78.42,broken clouds,6.1241,81.1185,Bungalow 63
238,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
239,Maxixe,MZ,71.42,clear sky,-23.8597,35.3472,Oceano
241,Canguaretama,BR,84.69,clear sky,-6.38,-35.1289,Pousada do Italiano
243,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
244,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
246,Saint-Joseph,RE,70.16,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
247,Jalu,LY,70.14,clear sky,29.0331,21.5482,صاحبة الفخامة
248,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
250,Bilma,NE,83.71,few clouds,18.6853,12.9164,Expeditions Ténére voyages
251,Upington,ZA,73.78,clear sky,-28.4478,21.2561,River Place Manor
254,Cartagena Del Chaira,CO,88.63,scattered clouds,1.3349,-74.8429,HOTEL LA ROCA
257,Biltine,TD,86.04,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
258,Leon,MX,78.15,scattered clouds,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
261,Chimore,BO,90.54,moderate rain,-16.9833,-65.1333,Bichito
262,General Pico,AR,80.26,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
263,Malakal,SS,79.0,broken clouds,9.5334,31.6605,Nile Palace Hotel
265,Amli,IN,70.43,broken clouds,20.2833,73.0167,Hotel Soubhagya Inn
267,Urrao,CO,74.53,overcast clouds,6.3152,-76.1342,Finca Hotel Riomanso
269,Wukari,NG,79.66,broken clouds,7.85,9.7833,Elimtop
273,Djibo,BF,93.04,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
276,Dakar,SN,81.48,few clouds,14.6937,-17.4441,Redface Studios Meublés
278,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
281,Esperantina,BR,85.41,overcast clouds,-3.9017,-42.2336,Pousada Recanto Das Aguas
288,Abomey-Calavi,BJ,80.35,overcast clouds,6.4485,2.3557,Miras Hôtel
290,Mabaruma,GY,82.31,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
291,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
293,Ondo,NG,74.64,overcast clouds,7.1,4.8333,Leisure Spring Hotel
294,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
295,Itarema,BR,82.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
298,Kalutara,LK,73.49,overcast clouds,6.5831,79.9593,Tangerine Beach Hotel
299,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
301,Kutum,SD,76.89,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
304,Boa Vista,BR,94.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
306,Moengo,SR,81.07,scattered clouds,5.6167,-54.4,Masanga
307,Salalah,OM,79.25,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
310,San Francisco,US,71.56,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
311,Tabou,CI,77.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
313,Tambura,SS,71.73,overcast clouds,5.6,27.4667,Rikito Lodge
314,Pinar Del Rio,CU,81.82,few clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
315,Oussouye,SN,78.98,light rain,12.485,-16.5469,Auberge du Routard
316,Najran,SA,70.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
321,Tingo Maria,PE,88.11,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
322,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
325,Kalemie,CD,71.73,scattered clouds,-5.9475,29.1947,Mahobilali
326,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
332,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
333,Am Timan,TD,81.36,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
334,Puerto Suarez,BO,77.56,scattered clouds,-18.95,-57.8,Hotel casa real
336,Puntarenas,CR,87.73,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
340,Kudahuvadhoo,MV,82.2,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
